ID,DEFAULT,AGE,ACADMOS,ADEPCNT,MAJORDRG,MINORDRG,OWNRENT,INCOME,SELFEMPL,INCPER,EXP_INC,SPENDING,LOGSPEND 
0,0,37.5833321,6,0,0,0,1,2916.6666667,1,39000.0,0.1166744,340.3002272,5.8298282 
1,1,23.75,6,0,1,0,1,8333.25,0,99999.0,0.0431304,359.4166668,5.8844823 
2,0,47.8333321,96,1,0,1,1,3333.3333333,0,20000.0,0.0518145,172.7150008,5.1516428 
3,0,22.916666,4,0,0,0,0,2100.0,0,25200.0,0.0353373,74.2083360,4.3068765 
4,0,24.0,64,0,0,0,0,1541.6666667,0,18500.0,0.1688168,260.2591719,5.5616779 
5,1,22.25,25,3,0,0,1,3333.3333333,0,10000.0,0.0184688,61.5625021,4.1200530 
6,0,26.666666,38,0,0,0,0,1916.6666667,0,23000.0,0.0133043,25.5000005,3.2386785 
7,1,49.0833321,16,0,0,0,1,2083.3333333,0,53000.0,0.0576968,120.2016526,4.7891708 
8,0,27.833334,12,1,0,1,1,1658.3333333,0,9950.0,0.0603879,100.1433387,4.6066025 
9,0,28.583334,94,1,0,0,1,2916.6666667,0,17500.0,0.029636,86.4383314,4.4594312 
10,1,29.083334,7,0,0,0,0,1333.3333333,0,16000.0,0.0724837,96.6449976,4.5710444 
11,0,22.083334,8,0,0,0,0,1916.6666667,0,25400.0,0.2751748,527.4183601,6.2679941 
12,0,28.333334,240,0,0,0,0,1833.3333333,0,22000.0,0.1966114,360.4541595,5.8873648 
13,0,44.5,192,4,0,0,1,4750.0,0,11400.0,0.0039474,18.7499997,2.9311937 
14,0,53.25,288,1,0,0,1,8333.25,0,79999.5,0.031823,265.1890919,5.5804431 
15,1,48.25,144,3,0,1,1,4166.6666667,1,16250.0,0.0067077,27.9487188,3.3303714 
16,0,27.5,135,0,1,1,0,2500.0,0,30000.0,0.075886,189.7150092,5.2455230 
17,0,23.25,3,0,0,0,0,1950.0,0,23400.0,0.0891615,173.8649983,5.1582791 
18,1,51.75,324,1,2,1,0,2390.3333333,0,14342.0,0.0554407,132.5216679,4.8867462 
19,0,23.916666,48,1,0,0,0,2091.6666667,0,17950.0,0.0050769,10.6191409,2.3626581 
20,0,56.8333321,11,0,0,0,1,2291.6666667,0,39500.0,0.0193924,44.4409274,3.7941608 
21,0,24.583334,111,0,0,1,0,2083.3333333,0,29000.0,0.1921228,400.2557447,5.9921037 
22,0,24.25,24,0,0,0,0,3333.3333333,0,40000.0,0.1122825,374.2749989,5.9249908 
23,0,37.0833321,24,3,0,0,1,5000.0,0,17500.0,0.1540159,770.0792700,6.6464935 
24,1,21.666666,169,0,0,0,0,1350.0,0,16200.0,0.052037,70.2500012,4.2520603 
25,0,64.5833359,360,2,0,0,1,8333.25,1,33333.0,0.0795518,662.9249843,6.4966618 
26,0,46.9166679,132,1,0,1,0,2036.6666667,0,13420.0,0.0661639,134.7538805,4.9034500 
27,0,38.4166679,24,0,0,0,1,2500.0,0,30000.0,0.005,12.4999997,2.5257286 
